기준_년분기_코드,상권구분_코드,상권구분_명,상권_코드,상권_명,당월_매출_금액,당월_매출_건수,주중_매출_금액,주말_매출_금액
20224,D,발달상권,3120084,공릉역,610681090.0,114955.0,436337135.0,174343955.0
20224,A,골목상권,3110438,경춘선숲길 우측,904909574.0,147992.0,612045901.0,292863673.0
20224,A,골목상권,3110587,공덕동주민센터,77828356.0,10374.0,54555698.0,23272658.0
20224,A,골목상권,3111047,마천1치안센터,90935906.0,12893.0,66526936.0,24408970.0
20224,D,발달상권,3120239,오금역,292864068.0,50488.0,232105402.0,60758666.0
20224,A,골목상권,3110157,자양동우체국,332340222.0,45285.0,232198213.0,100142009.0
20224,A,골목상권,3110297,경동고등학교,1090068775.0,151728.0,762291712.0,327777063.0
20224,D,발달상권,3120082,상계백병원,1336823793.0,140812.0,933808212.0,403015581.0
20224,A,골목상권,3110561,상수역 4번,342000000.0,51049.0,230544746.0,111455254.0
20224,A,골목상권,3110651,화원중학교,2059937511.0,258674.0,1385518522.0,674418989.0
20224,D,발달상권,3120135,양평역,349428616.0,63895.0,313710405.0,35718211.0
20224,A,골목상권,3110286,한성대입구역 5번,134751225.0,20817.0,96778805.0,37972420.0
20224,A,골목상권,3111008,석촌고분역 3번,175200605.0,28828.0,134038532.0,41162073.0
20224,A,골목상권,3111010,석촌역 7번,553175844.0,77851.0,387456864.0,165718980.0
20224,D,발달상권,3120024,회현역,2017537839.0,328829.0,1544797324.0,472740515.0
20224,A,골목상권,3110467,은평요양병원,345762747.0,46319.0,243062064.0,102700683.0
20223,D,발달상권,3120001,서대문역,925752650.0,155175.0,761614562.0,164138088.0
20223,D,발달상권,3120118,마곡역(마곡),626444452.0,97720.0,509560802.0,116883650.0
20223,A,골목상권,3110652,양천향교역 2번,218207824.0,35563.0,169694396.0,48513428.0
20223,A,골목상권,3110637,송정역 2번,349102889.0,58404.0,269345377.0,79757512.0
20223,D,발달상권,3120057,아차산역,713211460.0,107191.0,505110122.0,208101338.0
20223,A,골목상권,3110639,신방화역 8번,360751268.0,47355.0,255319410.0,105431858.0
20223,R,전통시장,3130248,영등포역지하도상점가,895264037.0,150750.0,631819738.0,263444299.0
20223,D,발달상권,3120184,포이사거리(삼호물산),3316144646.0,493955.0,2600702541.0,715442105.0
20223,D,발달상권,3120178,신사역,5942407032.0,976868.0,4318900458.0,1623506574.0
20223,D,발달상권,3120228,석촌역(석촌호수),2116419345.0,332776.0,1538345355.0,578073990.0
